setting,shape,seed,method,half,cells,lo_ratio,cov,seconds
n23,normal,290053,S,2.4664000785646363,23,0.7369665046438995,0.9863521199132284,
n23,normal,290059,CP_PAC,2.451368227249801,15,0.9592720803721112,0.9857685716475592,
n23,normal,290059,Oracle,2.200601385333905,15,0.9592720803721112,0.9722357445568376,
n23,normal,290059,Oracle04,2.2295835088187856,15,0.9592720803721112,0.9742248943288944,
n23,normal,290059,Plug,2.124280953306089,15,0.9592720803721112,0.9663533425736794,
n23,normal,290059,Dlow,2.241841468876277,15,0.9592720803721112,0.9750283799736754,
n23,normal,290059,S,2.2463206770761017,15,0.9592720803721112,0.9753165249256184,
n23,normal,290054,CP_PAC,2.8042873908072705,25,0.8011730724399729,0.9949572066282072,
n23,normal,290054,Oracle,2.594428666593926,25,0.8011730724399729,0.990525172740104,
n23,normal,290054,Oracle04,2.625934526448984,25,0.8011730724399729,0.9913588562924474,
n23,normal,290054,Plug,2.5876497444690845,25,0.8011730724399729,0.9903366816205792,
n23,normal,290054,Dlow,2.6663947941606607,25,0.8011730724399729,0.992333040107582,
n23,normal,290054,S,2.6717222615983838,25,0.8011730724399729,0.9924536921147864,
n23,normal,290052,CP_PAC,2.823907209766208,30,0.6684199311745005,0.9952557882445618,
n23,normal,290052,Oracle,2.6156037469669853,30,0.6684199311745005,0.9910930142447828,
n23,normal,290052,Oracle04,2.647249904498944,30,0.6684199311745005,0.9918850640559992,
n23,normal,290052,Plug,2.646147766977717,30,0.6684199311745005,0.9918585756173062,
n23,normal,290052,Dlow,2.709981149644748,30,0.6684199311745005,0.9932712967851138,
n23,normal,290052,S,2.7153957027946385,30,0.6684199311745005,0.9933803376589418,
n23,normal,290058,CP_PAC,2.499194994581899,24,0.6460098161642187,0.9875524201813812,
n23,normal,290058,Oracle,2.255430819821626,24,0.6460098161642187,0.975893699947436,
n23,normal,290058,Oracle04,2.28472685914516,24,0.6460098161642187,0.9776711513124892,
n23,normal,290058,Plug,2.303916117372373,24,0.6460098161642187,0.9787726472234016,
n23,normal,290058,Dlow,2.374190017612265,24,0.6460098161642187,0.98241250310633,
n23,normal,290058,S,2.378933658740539,24,0.6460098161642187,0.9826371995181452,
n23,normal,290055,CP_PAC,2.7785577507290267,26,0.7520755918159425,0.9945399193432592,
n23,normal,290055,Oracle,2.5663451074820136,26,0.7520755918159425,0.9897223484011912,
n23,normal,290055,Oracle04,2.5976459967695504,26,0.7520755918159425,0.9906134792090242,
n23,normal,290055,Plug,2.5753113624138946,26,0.7520755918159425,0.989985011413116,
n23,normal,290055,Dlow,2.6482341835375234,26,0.7520755918159425,0.9919086546802784,
n23,normal,290055,S,2.65352536600276,26,0.7520755918159425,0.9920344216711724,
