shape,seed,method,centre,half,cert_tol,cov
gamma2_skew,42010,FH_normal,-0.1322572732777625,1.614496467981485,0.001,0.9152209708021162
gamma2_skew,42010,HetLDC,0.0,2.3420693333938485,0.001,0.9688737613935549
gamma2_skew,42010,HetLDC_cert,0.0,2.3444114027272422,0.001,0.9689604079164464
gamma2_skew,42010,LDC_PAC,0.0,2.433857886468416,0.001,0.9721007809969684
gamma2_skew,42010,LDC_cert_pk,0.0,2.3559698106485003,,0.9693846230445492
gamma2_skew,42011,CP_PAC,0.0,2.400628626060097,0.001,0.9709717237819032
gamma2_skew,42011,FH_PAC,0.0425507195998539,2.0830729337021947,0.001,0.9597768486136494
gamma2_skew,42011,FH_normal,0.0425507195998539,1.743965753172516,0.001,0.9402124753642802
gamma2_skew,42011,HetLDC,0.0,2.176773107680973,0.001,0.9621330629077453
gamma2_skew,42011,HetLDC_cert,0.0,2.178949880788654,0.001,0.9622303352831088
gamma2_skew,42011,LDC_PAC,0.0,2.2470382311503765,0.001,0.9651544912920068
gamma2_skew,42011,LDC_cert_pk,0.0,2.187496975601351,,0.9626099569162042
gamma2_skew,42012,CP_PAC,0.0,2.604678325763346,0.003,0.9772665739970784
gamma2_skew,42012,FH_PAC,-0.0103183995830643,1.6459106154298973,0.003,0.9288457776317895
gamma2_skew,42012,FH_normal,-0.0103183995830643,1.3090145045141488,0.003,0.8874566280790444
gamma2_skew,42012,HetLDC,0.0,2.3643002040794654,0.003,0.9696868897107428
gamma2_skew,42012,HetLDC_cert,0.0,2.371393104691704,0.003,0.9699419825346228
gamma2_skew,42012,LDC_PAC,0.0,2.4527694897458203,0.003,0.9727242855175084
gamma2_skew,42012,LDC_cert_pk,0.0,2.3792252491424826,,0.9702212549331901
gamma2_skew,42013,CP_PAC,0.0,2.4126581716601434,0.001,0.9713854658727246
gamma2_skew,42013,FH_PAC,0.3354823036443848,2.3932176360764434,0.001,0.980423158844624
gamma2_skew,42013,FH_normal,0.3354823036443848,1.970347416653233,0.001,0.9675029519205806
gamma2_skew,42013,HetLDC,0.0,2.127609408435773,0.001,0.9598708935926716
gamma2_skew,42013,HetLDC_cert,0.0,2.1297370178442088,0.001,0.9599714224709636
gamma2_skew,42013,LDC_PAC,0.0,2.214609510448016,0.001,0.963790042478876
