shape,seed,rule,nu,alpha,half,cov
normal,300022,H,200.0,9e-05,2.452493508161124,0.9858130060679982
normal,300022,H,200.0,0.001,2.442254193281724,0.9854041345164875
normal,300022,H,200.0,0.005,2.4473738507214238,0.9856098510337685
normal,300022,H,1000.0,9e-05,2.3889431365587193,0.9831030826256479
normal,300022,H,1000.0,0.001,2.394062793998419,0.9833371042199379
normal,300022,H,1000.0,0.005,2.4043021088778187,0.983796623636332
normal,300025,CP,,,3.002715964779854,0.997324179587421
normal,300025,Oracle,,,2.8340599371187354,0.9954039289224486
normal,300025,H,2.0,9e-05,4.2344729938888115,0.9999770911687775
normal,300025,H,2.0,0.001,4.090342627579394,0.9999569263602666
normal,300025,H,2.0,0.005,3.9101796696926234,0.9999077725056658
normal,300025,H,10.0,9e-05,3.360016979248668,0.9992206231754026
normal,300025,H,10.0,0.001,3.2644100406171015,0.9989030770958502
normal,300025,H,10.0,0.005,3.204355721321511,0.9986463488356483
normal,300025,H,50.0,9e-05,3.051621181153877,0.9977239084724452
normal,300025,H,50.0,0.001,3.027599453435641,0.9975349541484153
normal,300025,H,50.0,0.005,3.015588589576523,0.9974351899744609
normal,300025,H,200.0,9e-05,2.931512542562696,0.9966268425515457
normal,300025,H,200.0,0.001,2.919501678703578,0.9964940849402657
normal,300025,H,200.0,0.005,2.925507110633137,0.9965610468315764
normal,300025,H,1000.0,9e-05,2.868324465059544,0.9958734789289969
normal,300025,H,1000.0,0.001,2.8743298969891034,0.9959511419562017
normal,300025,H,1000.0,0.005,2.8863407608482214,0.9961025008113069
normal,300020,CP,,,2.4735942002288347,0.9866238464684449
normal,300020,Oracle,,,2.2473418447668587,0.9753818114409807
normal,300020,H,2.0,9e-05,3.4784035380093297,0.9994955900541818
normal,300020,H,2.0,0.001,3.369565393199273,0.9992471317522591
normal,300020,H,2.0,0.005,3.240938494787388,0.9988086311433251
normal,300020,H,10.0,9e-05,2.7629864456917916,0.9942724855130791
normal,300020,H,10.0,0.001,2.6792796371092718,0.9926219251094759
normal,300020,H,10.0,0.005,2.6248605647042433,0.9913315542244703
normal,300020,H,50.0,9e-05,2.4688186236366696,0.9864440091001709
normal,300020,H,50.0,0.001,2.4490298700348414,0.9856758431339709
normal,300020,H,50.0,0.005,2.439135493233927,0.9852775529949149
normal,300020,H,200.0,9e-05,2.3550332904261557,0.9814789536547237
normal,300020,H,200.0,0.001,2.3403407690750755,0.9807338480767815
normal,300020,H,200.0,0.005,2.3500861020256987,0.9812309311706371
normal,300020,H,1000.0,9e-05,2.2936237791572562,0.9781878816984297
normal,300020,H,1000.0,0.001,2.2936237791572562,0.9781878816984297
normal,300020,H,1000.0,0.005,2.3084653443586274,0.9790267317851973
normal,300019,CP,,,2.3725523910935147,0.9823343424069224
normal,300019,Oracle,,,2.1323151520921706,0.9670190527449218
normal,300019,H,2.0,9e-05,3.3173366819255463,0.999091199700384
normal,300019,H,2.0,0.001,3.2224345862818162,0.9987289381489586
normal,300019,H,2.0,0.005,3.1038069667271535,0.9980895206600138
normal,300019,H,10.0,9e-05,2.6548685962095964,0.992066069225993
normal,300019,H,10.0,0.001,2.5745810580051116,0.9899638432941957
normal,300019,H,10.0,0.005,2.527130010183247,0.9885001076970532
normal,300019,H,50.0,9e-05,2.363226783308231,0.9818834204803335
normal,300019,H,50.0,0.001,2.3395012593972986,0.9806904935289724
normal,300019,H,50.0,0.005,2.3347561546151123,0.9804438371152919
normal,300019,H,200.0,9e-05,2.2445991637535685,0.9752061235006535
normal,300019,H,200.0,0.001,2.239997014652372,0.9749088833171047
normal,300019,H,200.0,0.005,2.2445991637535685,0.9752061235006535
normal,300019,H,1000.0,9e-05,2.18095301417453,0.9708131080628921
normal,300019,H,1000.0,0.001,2.1856981189567164,0.9711623013883537
normal,300019,H,1000.0,0.005,2.1972910716126934,0.9720003350960242
normal,300021,CP,,,2.16933977724977,0.9699431025622969
normal,300021,Oracle,,,1.886911262868626,0.9408277380243966
