p,q,x,L,U,tol,evals,beta,ell,seconds
0.9036,0.9,0.2265,0.6766086416196322,0.676811624212118,0.0003,2240344,1.8034509615540717,1.1910794531935935,13.315055131912231
0.9036,0.9,0.227,0.6754085817524607,0.6756112043269864,0.0003,2099048,1.8070261411923514,1.1889716057356212,13.469703674316406
0.9036,0.9,0.2275,0.6742056854761734,0.6744079471818163,0.0003,1823254,1.8106191873395694,1.186858768007304,12.926120519638062
0.9036,0.9,0.228,0.672999941996297,0.6732018419788959,0.0003,2603926,1.8142289246849972,1.1847411105824321,13.621442794799805
0.9036,0.9,0.2285,0.671791340391809,0.6719928777939265,0.0003,2379660,1.817856484245688,1.182618738256357,13.633283138275146
0.9036,0.9,0.229,0.6705798696137316,0.6707810435746158,0.0003,2137068,1.8215010805860412,1.1804906981579077,13.033395767211914
0.9036,0.9,0.2295,0.6693655184832928,0.6695663281388378,0.0003,2507664,1.8251643821415386,1.178357576653513,12.971138954162598
0.9036,0.9,0.23,0.6681482756903497,0.6683487201730568,0.0003,2188706,1.828845452191234,1.176219461614571,12.105982065200806
0.9036,0.9,0.2305,0.6669281297916778,0.6671282082306152,0.0003,2292040,1.8325438114460835,1.1740762872845076,12.759376049041748
0.9036,0.9,0.231,0.6657050692092721,0.6659047807300349,0.0003,2595850,1.8362630329682499,1.1719283540330168,12.791617631912231
0.9036,0.9,0.2315,0.6644790822283518,0.6646784259530203,0.0003,2049020,1.8399989086563213,1.1697751041614444,12.011934041976929
0.9036,0.9,0.232,0.6632501569959492,0.663449132043048,0.0003,2756930,1.8437532111975972,1.1676160585368993,12.733965873718262
0.9036,0.9,0.2325,0.6620182815187206,0.6622168870031762,0.0003,2582698,1.847528602894435,1.1654524700599551,12.51404619216919
0.9036,0.9,0.233,0.6607834436613754,0.6609816786944738,0.0003,1810596,1.8513206258116333,1.1632830261297942,11.852988243103027
0.9036,0.9,0.2335,0.6595456311445789,0.6597434948339223,0.0003,2342432,1.8551338447656944,1.1611086727953808,12.570643186569214
0.9036,0.9,0.234,0.6583048315431271,0.65850232299259,0.0003,2165562,1.8589651641831373,1.1589288865100997,11.918647050857544
0.9036,0.9,0.2345,0.657061032284076,0.6572581505937611,0.0003,1899600,1.8628179672969825,1.156743908395501,11.731262445449829
0.9036,0.9,0.235,0.6558142206445637,0.656010964910757,0.0003,2754326,1.8666914143600097,1.15455384642797,12.333112716674805
0.9036,0.9,0.2355,0.6545643837499265,0.6547607530650515,0.0003,2063292,1.8705828647690679,1.1523580737598738,11.86829662322998
0.9036,0.9,0.236,0.6533115085716271,0.6535075020241986,0.0003,2431880,1.8744964985861805,1.15015702767971,12.185020446777344
0.9036,0.9,0.2365,0.6520555819250979,0.6522511985996754,0.0003,2508564,1.8784301763209659,1.1479503518611638,12.10159683227539
0.9036,0.9,0.237,0.6507965904677508,0.6509918294448912,0.0003,2796592,1.8823864812267759,1.145738672378213,12.698501110076904
0.9036,0.9,0.2375,0.6495345206965973,0.6497293810528063,0.0003,3327920,1.8863617075836498,1.1435215057514083,13.166916370391846
0.9036,0.9,0.238,0.6482693589463023,0.6484638397539862,0.0003,3007358,1.890359780018792,1.1412983969484032,13.649640560150146
0.9036,0.9,0.2385,0.6470010913866346,0.6471951917140506,0.0003,2463478,1.8943788266599395,1.1390701277055675,12.429733753204346
0.9036,0.9,0.239,0.6457297040205069,0.645923422931713,0.0003,2499662,1.8984217378794495,1.1368361989532192,12.262778997421265
0.9036,0.9,0.2395,0.6444551826813882,0.6446485192361926,0.0003,2285494,1.9024852920117135,1.1345967306695959,12.02737045288086
0.9036,0.9,0.24,0.6431775130310597,0.6433704662849691,0.0003,2375420,1.9065717603174537,1.1323517223070896,12.141975164413452
0.9036,0.9,0.2405,0.6418966805572023,0.6420892495613694,0.0003,2970988,1.9106804155413246,1.1301009845304035,12.924331426620483
0.9036,0.9,0.241,0.6406126705708576,0.6408048543720288,0.0003,2371632,1.914812619317431,1.1278449742385228,12.324635982513428
0.9036,0.9,0.2415,0.6393254682040584,0.6395172658445196,0.0003,2903424,1.9189675239427089,1.1255823933472529,13.004970788955688
0.9036,0.9,0.242,0.6380350584072076,0.6382264689247298,0.0003,2715746,1.9231466802923376,1.1233152812378433,12.659022092819214
0.9036,0.9,0.2425,0.6367414259463848,0.6369324483741687,0.0003,2232572,1.9273481906185164,1.1210417741772858,12.125006914138794
0.9036,0.9,0.243,0.6354445554008376,0.6356351887674578,0.0003,3136826,1.931574404099156,1.118762180775993,12.83668828010559
0.9036,0.9,0.2435,0.6341444311603174,0.6343346744896654,0.0003,2529686,1.9358259146069965,1.1164773160340535,12.837996244430542
0.9036,0.9,0.244,0.6328410374221444,0.633030889733371,0.0003,3178130,1.940100827123112,1.1141864483281163,13.017799139022827
0.9036,0.9,0.2445,0.6315343581886547,0.6317238184961113,0.0003,3000198,1.9444023111323967,1.1118900308534796,13.102153778076172
0.9036,0.9,0.245,0.6302243772641172,0.6304134445772964,0.0003,2597266,1.9487267656444447,1.109587584839097,12.863424301147461
0.9036,0.9,0.2455,0.6289110782519798,0.6290997515754554,0.0003,2292940,1.9530788767882394,1.1072793264864969,12.619740962982178
0.9036,0.9,0.246,0.6275944445518646,0.6277827228852302,0.0003,2546796,1.9574555914602128,1.104965059586488,12.617317199707031
0.9036,0.9,0.2465,0.6262744593565451,0.6264623416943521,0.0003,3352432,1.9618587929215134,1.1026446201011268,13.16925573348999
0.9036,0.9,0.247,0.6249511056488319,0.6251385909805266,0.0003,3744320,1.9662865224374482,1.1003179592407848,13.795350074768066
0.9036,0.9,0.2475,0.6236243661986423,0.6238114535085019,0.0003,3206080,1.9707432840054744,1.0979858373918614,13.932217359542847
0.9036,0.9,0.248,0.6222942235593883,0.6224809118264562,0.0003,3311408,1.975226708601545,1.0956475623503414,13.77530574798584
0.9036,0.9,0.2485,0.6209606600651196,0.6211469482631391,0.0003,2173052,1.9797360390002385,1.0933030813903841,12.477482795715332
0.9036,0.9,0.249,0.6196236578269952,0.6198095449243434,0.0003,2977830,1.984273724932249,1.0909525753027636,13.345865249633789
0.9036,0.9,0.2495,0.618283198729953,0.618468683689572,0.0003,2893842,1.9888400478565602,1.0885958194320458,13.425908088684082
0.9036,0.9,0.25,0.6169392644292024,0.6171243462085312,0.0003,2688076,1.9934333882658808,1.086232803524546,12.955005884170532
0.9036,0.9,0.2505,0.6155918363467725,0.6157765138976765,0.0003,3197184,1.998057977078143,1.083863998562659,13.706399202346802
0.9036,0.9,0.251,0.6142408956678534,0.6144251679365538,0.0003,3168776,2.0027085046541186,1.0814884436358185,14.181103229522705
0.9036,0.9,0.2515,0.6128864233370718,0.6130702892640729,0.0003,3565696,2.0073900990173383,1.0791068393242211,14.753826379776001
0.9036,0.9,0.252,0.6115284000548782,0.6117118585748946,0.0003,3141264,2.012101408984427,1.0767187579037132,14.209810733795166
0.9036,0.9,0.2525,0.6101668062736189,0.6103498563155009,0.0003,3079744,2.016841241246299,1.0743240623563441,14.078630924224854
0.9036,0.9,0.253,0.6088016221936275,0.6089842626802856,0.0003,3190510,2.021612116093637,1.0719231352158896,14.351200819015503
0.9036,0.9,0.2535,0.6074328277593755,0.6076150576077033,0.0003,3342644,2.026414898101282,1.0695163655883388,14.531294107437134
0.9036,0.9,0.254,0.6060604026551749,0.6062422207759715,0.0003,2546206,2.0312483553862015,1.067102402536462,13.856576919555664
0.9036,0.9,0.2545,0.604684326301226,0.6048657315991164,0.0003,2267362,2.0361113120384084,1.0646822533672586,13.397843599319458
0.9036,0.9,0.255,0.603304577849322,0.6034855692226768,0.0003,3019566,2.0410087135978614,1.0622553590883554,14.356733560562134
0.9036,0.9,0.2555,0.6019211361784402,0.6021017125192938,0.0003,2856860,2.0459370194976056,1.0598220464663346,14.336015224456787
0.9036,0.9,0.256,0.6005339798904499,0.600714140084417,0.0003,3293044,2.050899498897727,1.0573820798071143,14.75150179862976
0.9036,0.9,0.2565,0.5991430873054885,0.5993228302316801,0.0003,3352006,2.055893010581294,1.0549355835158924,14.705440044403076
